Street,City,Zipcode,Price,Zestimate,Bedroom,Bathroom,Year_Built,Living_Area,Home_Type,Lot_Size(Sqft),HOA_Per_Month,Last_Sold_Price,hasHeating,hasCooling,furnished,hasOpenParking,hasCarport,isNewConstruction,hasHomeWarranty,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Date,MonthYear_value,Year,avg_school_rating
2341 Roosevelt Ave,BERKELEY,94703,1195000,1266474,3,3.0,1903,2176,SINGLE_FAMILY,6481,0,215500,True,True,False,False,False,False,False,False,False,False,1195000,2020-09-17,2020-09,2020,7
1883 Agnew Rd UNIT 436,SANTA CLARA,95054,899800,916711,3,2.0,2006,1361,CONDO,435,411,594000,True,True,False,False,False,False,False,False,False,False,899800,2020-09-21,2020-09,2020,7
35935 Killorglin Cmn,FREMONT,94536,1100000,1134504,3,3.0,1989,1460,SINGLE_FAMILY,3497,66,297000,True,True,False,False,False,False,False,False,False,False,1100000,2020-09-18,2020-09,2020,8
56 Pulido Ct,DANVILLE,94526,1499000,1546882,4,3.0,1973,2890,SINGLE_FAMILY,12000,0,1327000,True,True,False,False,False,False,False,False,False,False,1499000,2020-09-17,2020-09,2020,9
665 Palomino Dr #A,PLEASANTON,94566,605000,660871,2,2.0,1985,1198,TOWNHOUSE,1520,440,345000,True,True,False,False,False,False,False,False,False,False,605000,2020-09-24,2020-09,2020,8
7648 Stoneleaf Rd,SAN RAMON,94582,869000,869005,3,3.0,2009,2228,CONDO,1423,230,550000,True,True,False,False,False,False,False,False,False,False,869000,2020-09-04,2020-09,2020,9
949 Ridgeview Ct UNIT B,SOUTH SAN FRANCISCO,94080,679000,679759,2,1.0,1979,950,CONDO,87686,300,560000,True,True,False,False,False,False,False,False,False,False,679000,2020-08-19,2020-08,2020,4
1135 The Alameda,BERKELEY,94707,1295000,1545333,4,2.0,1920,1805,SINGLE_FAMILY,7535,0,655000,True,True,False,False,False,False,False,False,False,False,1295000,2020-09-24,2020-09,2020,8
350 Panoramic Way,BERKELEY,94704,1300000,1310883,2,2.0,1937,1439,SINGLE_FAMILY,3606,0,655000,True,True,False,False,False,False,False,False,False,False,1300000,2020-09-16,2020-09,2020,7
27471 Ponderosa Ct,HAYWARD,94545,626000,644014,3,2.0,1970,1220,TOWNHOUSE,2051,268,170000,True,True,False,False,False,False,False,False,False,False,626000,2020-09-23,2020-09,2020,4
40 Brookside Ave,BERKELEY,94705,2795000,2914868,6,4.0,1925,4441,SINGLE_FAMILY,7618,0,655000,unknow,True,False,False,False,False,False,False,False,False,2795000,2020-09-24,2020-09,2020,7
1361 Coyote Creek Way,MILPITAS,95035,1050000,1065217,3,4.0,2013,1668,TOWNHOUSE,1489,240,758500,True,True,False,False,False,False,False,False,False,False,1050000,2020-09-19,2020-09,2020,8
123 Mars Ave,HAYWARD,94544,275000,268008,3,2.0,2002,1296,MANUFACTURED,5614,0,655000,unknow,unknow,False,False,False,False,False,False,False,False,275000,2020-09-23,2020-09,2020,2
