Street,City,Zipcode,Price,Zestimate,Bedroom,Bathroom,Year_Built,Living_Area,Home_Type,Lot_Size(Sqft),HOA_Per_Month,Last_Sold_Price,hasHeating,hasCooling,furnished,hasOpenParking,hasCarport,isNewConstruction,hasHomeWarranty,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Date,MonthYear_value,Year,avg_school_rating
34776 Rumford Ter,UNION CITY,94587,850000,867838,3,3.0,1996,1492,TOWNHOUSE,2034,240,750000,True,True,False,False,False,False,False,False,False,False,850000,2020-09-23,2020-09,2020,5
1350 32nd Ave,SAN FRANCISCO,94122,1295000,1454671,4,3.5,1950,1726,SINGLE_FAMILY,2996,0,1451000,True,True,False,False,False,False,False,False,False,False,1295000,2020-09-16,2020-09,2020,9
2629 Fairdell Dr,SAN JOSE,95125,1649000,1747939,4,3.0,1963,2047,SINGLE_FAMILY,7426,0,655000,True,True,False,False,False,False,False,False,False,False,1649000,2020-09-24,2020-09,2020,5
1555 Farmer Pl,SANTA CLARA,95051,1499000,1528233,4,4.0,2009,1993,SINGLE_FAMILY,2047,106,744500,True,True,False,False,False,False,False,False,False,False,1499000,2020-09-18,2020-09,2020,6
5338 Campus Dr,DUBLIN,94568,838000,843990,4,3.0,2015,1753,TOWNHOUSE,5614,189,830000,True,True,False,False,False,False,False,False,False,False,838000,2020-09-02,2020-09,2020,7
30 Eagle Lake Pl UNIT 14,SAN RAMON,94582,699000,699005,2,2.0,1990,1272,CONDO,5614,720,655000,True,True,False,False,False,False,False,False,False,False,699000,2020-08-14,2020-08,2020,9
1932 Webster St,SAN FRANCISCO,94115,1198000,3363296,2,1.0,1890,2400,CONDO,2187,0,655000,False,False,False,False,False,False,False,False,False,False,1198000,2020-09-21,2020-09,2020,6
258 Delmar Way,SAN MATEO,94403,1958000,2019064,4,3.0,1936,1810,SINGLE_FAMILY,5048,0,1058000,True,True,False,False,False,False,False,False,False,False,1958000,2020-09-16,2020-09,2020,6
1307 Traughber St,MILPITAS,95035,1300000,1376340,5,3.0,1970,1914,SINGLE_FAMILY,8916,0,211000,True,True,False,False,False,False,False,False,False,False,1300000,2020-08-20,2020-08,2020,9
1651 Cunningham St,SANTA CLARA,95050,1069900,1119669,3,1.0,1951,1021,SINGLE_FAMILY,7261,0,490000,True,True,False,False,False,False,False,False,False,False,1069900,2020-09-17,2020-09,2020,5
6532 Bantry Bay St,DUBLIN,94568,899000,908268,4,4.0,2013,2244,TOWNHOUSE,5614,262,828000,True,True,False,False,False,False,False,False,False,False,899000,2020-08-20,2020-08,2020,7
132 Washington Dr,MILPITAS,95035,1350000,1408776,6,3.0,1964,1962,SINGLE_FAMILY,5998,0,53500,True,True,False,False,False,False,False,False,False,False,1350000,2020-09-15,2020-09,2020,9
20728 Celeste Cir,CUPERTINO,95014,999999,1003214,2,2.0,1984,1199,CONDO,1176,360,433000,True,True,False,False,False,False,False,False,False,False,999999,2020-08-06,2020-08,2020,7
35685 Terrace Dr,FREMONT,94536,1088000,1097639,3,3.0,1989,1370,SINGLE_FAMILY,3950,0,916000,True,True,False,False,False,False,False,False,False,False,1088000,2020-09-20,2020-09,2020,8
6008 Lakeview Cir,SAN RAMON,94582,1135000,1135007,4,3.0,1989,2608,SINGLE_FAMILY,6242,225,750000,True,True,False,False,False,False,False,False,False,False,1135000,2020-09-02,2020-09,2020,9
119 Crescent Ave,SAN FRANCISCO,94110,1095000,1461889,3,1.0,1905,1484,SINGLE_FAMILY,2500,0,655000,True,True,False,False,False,False,False,False,False,False,1095000,2020-09-22,2020-09,2020,2
4742 James Ave,CASTRO VALLEY,94546,749000,697181,2,1.0,1948,944,SINGLE_FAMILY,5357,0,400000,True,True,False,False,False,False,False,False,False,False,749000,2020-09-25,2020-09,2020,8
410 Cypress Ave,SAN MATEO,94401,1250000,1299240,3,2.0,1910,1460,SINGLE_FAMILY,5850,0,655000,True,True,False,False,False,False,False,False,False,False,1250000,2020-09-16,2020-09,2020,5
5125 Lawton Ave,OAKLAND,94618,579000,631849,2,2.0,1910,601,SINGLE_FAMILY,5614,0,730000,False,True,False,False,False,False,False,False,False,False,579000,2020-09-16,2020-09,2020,4
1524 Ortega Ave,HAYWARD,94544,325000,328105,3,2.0,2005,1602,MANUFACTURED,5614,0,655000,unknow,unknow,False,False,False,False,False,False,False,False,325000,2020-09-19,2020-09,2020,4
1734 Pomeroy Ave,SANTA CLARA,95051,1698000,1754266,4,2.0,1954,1777,SINGLE_FAMILY,5915,0,785000,True,True,False,False,False,False,False,False,False,False,1698000,2020-09-18,2020-09,2020,6
2257 Fulton St,SAN FRANCISCO,94117,1199000,1411140,2,2.0,1910,1350,CONDO,5614,384,1010000,True,True,False,False,False,False,False,False,False,False,1199000,2020-09-19,2020-09,2020,8
3080 Rockett Dr,FREMONT,94538,989900,1025174,4,3.0,1954,1306,SINGLE_FAMILY,5501,0,290000,True,True,False,False,False,False,False,False,False,False,989900,2020-09-24,2020-09,2020,7
300 Sycamore Hill Ct,DANVILLE,94526,785000,782295,2,2.0,1974,1211,TOWNHOUSE,2339,467,730000,True,True,False,False,False,False,False,False,False,False,785000,2020-09-23,2020-09,2020,9
235 W 39th Ave,SAN MATEO,94403,1498000,1554356,3,2.0,1951,1300,SINGLE_FAMILY,6612,0,240000,True,True,False,False,False,False,False,False,False,False,1498000,2020-09-17,2020-09,2020,5
55 W 20th Ave APT 202,SAN MATEO,94403,899000,918851,2,2.0,1982,1234,CONDO,122500,525,375000,True,True,False,False,False,False,False,False,False,False,899000,2020-09-23,2020-09,2020,6
6110 Colby St,OAKLAND,94618,995000,1233986,3,2.0,1910,1120,SINGLE_FAMILY,2975,0,525000,True,True,False,False,False,False,False,False,False,False,995000,2020-09-22,2020-09,2020,5
3233 Noriega St,SAN FRANCISCO,94122,1198000,1366171,3,2.0,1948,1470,SINGLE_FAMILY,2321,0,655000,True,True,False,False,False,False,False,False,False,False,1198000,2020-09-18,2020-09,2020,8
3024 Bolero Ct,PLEASANTON,94588,965000,972975,4,3.0,1994,1928,TOWNHOUSE,1367,295,655000,True,True,False,False,False,False,False,False,False,False,965000,2020-09-23,2020-09,2020,9
18308 Pepper St,CASTRO VALLEY,94546,797888,871027,3,1.0,1948,1066,SINGLE_FAMILY,10319,0,655000,True,True,False,False,False,False,False,False,False,False,797888,2020-09-22,2020-09,2020,8
822 Newman Dr,SOUTH SAN FRANCISCO,94080,992500,1039044,3,1.0,1953,1000,SINGLE_FAMILY,4499,0,709000,True,True,False,False,False,False,False,False,False,False,992500,2020-09-23,2020-09,2020,6
4140 Montgomery St,OAKLAND,94611,1095000,1399463,2,2.0,1907,1207,SINGLE_FAMILY,3001,0,1267000,True,True,False,False,False,False,False,False,False,False,1095000,2020-09-24,2020-09,2020,3
3517 Northwood Dr,CASTRO VALLEY,94546,999500,999944,4,3.0,1953,2378,SINGLE_FAMILY,6899,0,327500,True,True,False,False,False,False,False,False,False,False,999500,2020-09-25,2020-09,2020,8
1942 31st Ave,SAN FRANCISCO,94116,1449000,1610465,3,2.0,1942,2030,SINGLE_FAMILY,3001,0,655000,True,True,False,False,False,False,False,False,False,False,1449000,2020-09-23,2020-09,2020,8
1307 Gilman Ave,SAN FRANCISCO,94124,989000,915475,3,2.0,1938,1352,SINGLE_FAMILY,2500,0,550000,False,True,False,False,False,False,False,False,False,False,989000,2020-09-24,2020-09,2020,3
717 29th Ave,SAN MATEO,94403,2250000,2330600,3,3.0,1972,1990,SINGLE_FAMILY,6494,0,655000,True,True,False,False,False,False,False,False,False,False,2250000,2020-09-21,2020-09,2020,0
306 S 15th St,SAN JOSE,95112,1289000,1321806,4,2.0,1916,1907,SINGLE_FAMILY,6655,0,635000,True,True,False,False,False,False,False,False,False,False,1289000,2020-09-23,2020-09,2020,3
253 Anza St,FREMONT,94539,900000,1358955,3,4.0,2012,1648,SINGLE_FAMILY,3750,0,655000,unknow,unknow,False,False,False,False,False,False,False,False,900000,2020-09-17,2020-09,2020,9
9 Greenwood Cmn,BERKELEY,94708,1595000,1894298,3,2.0,1952,1671,SINGLE_FAMILY,5026,166,1826000,True,True,False,False,False,False,False,False,False,False,1595000,2020-09-17,2020-09,2020,7
446 Watsonia Ct,SAN RAMON,94582,1398000,1401215,4,3.0,2008,3164,SINGLE_FAMILY,7122,20,980000,True,True,False,False,False,False,False,False,False,False,1398000,2020-09-18,2020-09,2020,9
4574 Ellen Way,UNION CITY,94587,799888,826283,4,3.0,1972,1907,SINGLE_FAMILY,6242,0,655000,True,True,False,False,False,False,False,False,False,False,799888,2020-09-16,2020-09,2020,6
142 Santa Rosa Dr,SAN JOSE,95111,689000,710988,3,2.0,1959,1123,SINGLE_FAMILY,5087,0,365000,True,False,False,False,False,False,False,False,False,False,689000,2020-09-11,2020-09,2020,3
513 F St,UNION CITY,94587,696764,696764,4,1.5,1948,1256,SINGLE_FAMILY,4965,0,559000,unknow,unknow,False,False,False,False,False,False,False,False,559000,2006-03-08,2006-03,2006,5
2090 Main St,SANTA CLARA,95050,1099000,974102,2,2.0,1954,985,SINGLE_FAMILY,6019,0,655000,True,True,False,False,False,False,False,False,False,False,1099000,2020-09-18,2020-09,2020,5
2525 Tara Ln,SOUTH SAN FRANCISCO,94080,1388000,1421468,4,3.0,1962,2240,SINGLE_FAMILY,5000,0,655000,True,True,False,False,False,False,False,False,False,False,1388000,2020-09-16,2020-09,2020,7
155 Embarcadero Rd,PALO ALTO,94301,2765000,2767913,0,0.0,1957,1895,MULTI_FAMILY,5614,0,1300000,True,True,False,False,False,False,False,False,False,False,2765000,2020-09-18,2020-09,2020,8
2110 Rancho Mccormick Blvd,SANTA CLARA,95050,1195000,1220959,3,3.0,1981,1636,TOWNHOUSE,858,436,665000,True,True,False,False,False,False,False,False,False,False,1195000,2020-09-15,2020-09,2020,5
4021 Bayo St,OAKLAND,94619,1199000,821185,3,2.0,1925,1641,SINGLE_FAMILY,6751,0,551000,True,True,False,False,False,True,False,True,False,False,1199000,2020-09-23,2020-09,2020,1
501 Folsom Cir,MILPITAS,95035,998888,1021198,2,3.0,1983,1459,SINGLE_FAMILY,2970,295,655000,True,True,False,False,False,False,False,False,False,False,998888,2020-09-19,2020-09,2020,9
11 Cerro Ct,DANVILLE,94526,1550000,1550838,4,3.0,1991,2896,SINGLE_FAMILY,9600,0,655000,True,True,False,False,False,False,False,False,False,False,1550000,2020-09-25,2020-09,2020,9
35550 Monterra Ter APT 202,UNION CITY,94587,549000,549005,2,2.0,2001,1022,CONDO,5614,552,655000,True,True,False,False,False,False,False,False,False,False,549000,2020-08-03,2020-08,2020,5
3115 Mount Isabel Dr,SAN JOSE,95148,1199900,1238170,4,3.0,1979,2104,SINGLE_FAMILY,6660,0,750000,True,True,False,False,False,False,False,False,False,False,1199900,2020-09-23,2020-09,2020,8
1111 Red Wing Dr,HAYWARD,94541,699900,717708,4,3.0,2012,1515,SINGLE_FAMILY,1502,240,655000,True,True,False,False,False,False,False,False,False,False,699900,2020-09-12,2020-09,2020,3
5658 Poplar Cmn,FREMONT,94538,550000,564999,2,1.0,1970,945,SINGLE_FAMILY,1363,385,655000,True,True,False,False,False,False,False,False,False,False,550000,2020-09-25,2020-09,2020,7
4428 Alamo St,UNION CITY,94587,749000,773318,4,3.0,1971,1632,TOWNHOUSE,1829,255,251000,True,unknow,False,False,False,False,False,False,False,False,749000,2020-09-16,2020-09,2020,6
5544 Cleveland Pl,FREMONT,94538,999000,1039568,5,3.0,1967,1903,SINGLE_FAMILY,5797,0,655000,True,True,False,False,False,False,False,False,False,False,999000,2020-09-24,2020-09,2020,7
361 Meadowood Cir,SAN RAMON,94583,729900,749906,3,2.0,1978,1311,SINGLE_FAMILY,2500,152,655000,True,True,False,False,False,False,False,False,False,False,729900,2020-09-21,2020-09,2020,9
32010 Paloma Ct,UNION CITY,94587,586519,586519,2,2.5,1982,1124,CONDO,5614,0,139000,False,False,False,False,False,unknow,False,False,False,False,139000,1996-12-31,1996-12,1996,6
938 Peninsula Ave,SAN MATEO,94401,898000,916579,2,2.0,1965,1152,TOWNHOUSE,1114918,655,545000,True,True,False,False,False,False,False,False,False,False,898000,2020-09-23,2020-09,2020,5
28033 High Country Dr,HAYWARD,94542,998000,1052930,4,3.0,1974,2552,SINGLE_FAMILY,8224,0,238000,True,True,False,False,False,False,False,False,False,False,998000,2020-09-15,2020-09,2020,3
10546 Red Fir Ct,CUPERTINO,95014,1349000,1348494,3,2.0,1971,1202,TOWNHOUSE,1934,317,1200000,True,True,False,False,False,False,False,False,False,False,1349000,2020-06-22,2020-06,2020,9
1125 Spruce St,BERKELEY,94707,1160000,1730895,3,2.0,1920,1830,SINGLE_FAMILY,4852,0,1100000,True,True,False,False,False,False,False,False,False,False,1160000,2020-09-17,2020-09,2020,7
10312 N Blaney Ave,CUPERTINO,95014,2650000,2118348,3,1.0,1934,1212,SINGLE_FAMILY,13664,0,655000,True,True,False,False,False,False,False,False,False,False,2650000,2020-09-22,2020-09,2020,8
19569 Alana Rd,CASTRO VALLEY,94546,1149000,971682,3,3.0,1951,1794,SINGLE_FAMILY,19680,0,268500,True,True,False,False,False,False,False,False,False,False,1149000,2020-09-23,2020-09,2020,8
2471 Rowntree Way,SOUTH SAN FRANCISCO,94080,699000,736897,2,1.0,1971,858,CONDO,5614,295,655000,True,True,False,False,False,False,False,False,False,False,699000,2020-08-27,2020-08,2020,6
2093 Greenwood Rd,PLEASANTON,94566,1490000,1449832,6,3.0,1970,2724,SINGLE_FAMILY,7997,0,597000,True,True,False,False,False,False,False,False,False,False,1490000,2020-09-24,2020-09,2020,8
110 Park Rd APT 401,BURLINGAME,94010,1450000,1477641,2,2.0,1975,1600,CONDO,38257,683,750000,True,True,False,False,False,False,False,False,False,False,1450000,2020-08-12,2020-08,2020,8
540 Irven Ct,PALO ALTO,94306,2699999,2705195,5,2.0,1935,2241,SINGLE_FAMILY,5780,0,655000,True,True,False,False,False,False,False,False,False,False,2699999,2020-09-12,2020-09,2020,8
5331 Black Ave APT 1,PLEASANTON,94566,825000,808585,3,3.0,1982,1690,TOWNHOUSE,179467,400,690000,True,True,False,False,True,False,False,False,False,False,825000,2020-09-18,2020-09,2020,8
7308 Stonedale Dr,PLEASANTON,94588,799000,819006,3,2.0,1987,1525,TOWNHOUSE,2661,470,670000,True,True,False,False,False,False,False,False,False,False,799000,2020-09-18,2020-09,2020,8
1820 Paseo Del Cajon,PLEASANTON,94566,1469000,1479801,4,3.0,1968,2630,SINGLE_FAMILY,6982,0,525000,True,True,False,False,False,False,False,False,False,False,1469000,2020-09-17,2020-09,2020,8
169 Rabbit Ct,FREMONT,94539,1389000,1347506,3,3.0,1989,1728,SINGLE_FAMILY,3497,80,1050000,True,True,False,False,False,False,False,False,False,False,1389000,2020-09-24,2020-09,2020,8
3619 Greenhills Ave,CASTRO VALLEY,94546,1003175,1003175,3,3.0,1987,2248,SINGLE_FAMILY,5900,0,655000,True,True,False,False,False,unknow,False,False,False,False,3650,2017-08-18,2017-08,2017,8
8080 Canyon Creek Cir,PLEASANTON,94588,999000,1007476,3,3.0,1996,1650,SINGLE_FAMILY,5013,108,705000,True,True,False,False,False,False,False,False,False,False,999000,2020-09-18,2020-09,2020,8
3385 La Selva St APT C,SAN MATEO,94403,745000,755169,3,2.0,1963,905,CONDO,609,46,585000,True,True,False,False,False,False,False,False,False,False,745000,2020-09-11,2020-09,2020,5
2121 99th Ave,OAKLAND,94603,599900,645240,4,2.0,1938,1368,SINGLE_FAMILY,4142,0,180000,False,True,False,False,False,False,False,False,False,False,599900,2020-09-17,2020-09,2020,1
1501 8th Ave APT F,SAN FRANCISCO,94122,939000,1628790,2,1.0,1914,928,CONDO,5614,550,715000,True,unknow,False,False,False,False,False,False,False,False,939000,2020-09-23,2020-09,2020,7
1151 Mataro Ct,PLEASANTON,94566,1449000,1461125,4,3.0,1986,2451,SINGLE_FAMILY,7291,140,1300000,True,True,False,False,False,False,False,False,False,False,1449000,2020-09-24,2020-09,2020,8
5844 Broadway,OAKLAND,94618,1098000,1799233,3,2.0,1921,1645,SINGLE_FAMILY,5941,0,875000,True,True,False,False,False,False,False,False,False,False,1098000,2020-09-22,2020-09,2020,7
646 Colusa Ave,BERKELEY,94707,1995000,1867257,4,5.0,1926,2552,SINGLE_FAMILY,3998,0,1022000,True,True,False,False,False,False,False,False,False,False,1995000,2020-09-24,2020-09,2020,8
1566 Via Pisa,SAN JOSE,95128,998888,1052358,3,2.0,1959,1207,SINGLE_FAMILY,6459,0,655000,True,True,False,False,False,False,False,False,False,False,998888,2020-09-23,2020-09,2020,4
4370 Whittle Ave,OAKLAND,94602,1299000,1576299,3,3.0,1977,2681,SINGLE_FAMILY,9478,0,875000,True,True,False,False,False,False,False,False,False,False,1299000,2020-09-22,2020-09,2020,2
605 Harrison Ter,SAN JOSE,95125,975000,888505,3,3.0,2007,1409,SINGLE_FAMILY,1454,290,641000,True,True,False,False,False,False,False,False,False,False,975000,2020-09-23,2020-09,2020,4
731 Enright Ave,SANTA CLARA,95050,1239000,1288778,3,2.0,1950,1362,SINGLE_FAMILY,5671,0,655000,True,True,False,False,False,False,False,False,False,False,1239000,2020-09-18,2020-09,2020,6
4082 Davis St,SANTA CLARA,95054,1499999,1540267,4,3.0,2007,1992,SINGLE_FAMILY,4181,0,655000,True,True,False,False,False,False,False,False,False,False,1499999,2020-09-24,2020-09,2020,6
29628 Desert Oak Ct APT 33,HAYWARD,94544,319999,324373,1,1.0,1985,531,CONDO,435,364,87500,True,True,False,False,False,False,False,False,False,False,319999,2020-09-18,2020-09,2020,2
121 Westfield Cir,DANVILLE,94526,699950,699955,3,3.0,1973,1788,TOWNHOUSE,2278,440,250000,True,True,False,False,False,False,False,False,False,False,699950,2020-09-21,2020-09,2020,9
28574 Starboard Ln,HAYWARD,94545,890000,913864,4,3.0,2007,1835,SINGLE_FAMILY,2448,202,687000,True,True,False,False,False,False,False,False,False,False,890000,2020-09-18,2020-09,2020,4
455 El Camino Real APT 405,SOUTH SAN FRANCISCO,94080,599888,621264,1,1.0,1981,730,CONDO,31024,397,263000,True,True,False,False,False,False,False,False,False,False,599888,2020-09-09,2020-09,2020,5
2727 Park Blvd,OAKLAND,94606,899900,976972,4,3.0,1919,1958,SINGLE_FAMILY,5227,0,49700,unknow,unknow,False,False,False,False,False,False,False,False,899900,2020-09-22,2020-09,2020,5
1100 Oxford Rd,BURLINGAME,94010,1698000,1735495,2,2.0,1940,970,SINGLE_FAMILY,4817,0,1750000,True,True,False,False,False,False,False,False,False,False,1698000,2020-09-19,2020-09,2020,9
3725 Cottage Ct,CASTRO VALLEY,94546,670000,720638,2,1.0,1957,942,SINGLE_FAMILY,5000,0,475000,True,True,False,False,False,False,False,False,False,False,670000,2020-09-18,2020-09,2020,8
25096 Pleasant Way,HAYWARD,94544,750000,805000,4,2.0,1946,1472,SINGLE_FAMILY,5889,0,355000,False,True,False,False,False,False,False,False,False,False,750000,2020-09-04,2020-09,2020,2
3179 Alexa Cruz Ter,DUBLIN,94568,1149000,1156394,4,5.0,2014,2939,SINGLE_FAMILY,3463,230,849500,True,True,False,False,False,False,False,False,False,False,1149000,2020-09-18,2020-09,2020,9
1110 Grove Ave,BURLINGAME,94010,1398000,1432097,2,1.0,1926,1300,SINGLE_FAMILY,4303,0,655000,False,True,False,False,False,False,False,False,False,False,1398000,2020-09-23,2020-09,2020,9
6888 York Dr,DUBLIN,94568,740000,763279,4,2.0,1965,1602,SINGLE_FAMILY,5989,0,250000,True,True,False,False,False,False,False,False,False,False,740000,2020-09-16,2020-09,2020,7
600 Curtner Rd,FREMONT,94539,1950000,1991212,4,4.0,1974,2701,SINGLE_FAMILY,10711,0,1740000,True,True,False,False,False,False,False,False,False,False,1950000,2020-09-22,2020-09,2020,8
7900 Firebrand Dr,DUBLIN,94568,819000,848041,3,2.0,1960,1038,SINGLE_FAMILY,7836,0,430000,True,True,False,False,False,False,False,False,False,False,819000,2020-09-16,2020-09,2020,7
7086 Dublin Meadows St APT H,DUBLIN,94568,609888,221900,3,2.0,1992,1215,CONDO,5614,320,655000,True,True,False,False,False,False,False,False,False,False,609888,2020-08-30,2020-08,2020,7
434 Winfield Ln,DANVILLE,94526,1025000,1004879,3,3.0,1999,1821,SINGLE_FAMILY,1825,270,765000,True,True,False,False,False,False,False,False,False,False,1025000,2020-09-23,2020-09,2020,10
85 Idlewood Ct,SOUTH SAN FRANCISCO,94080,1428000,1414258,4,3.0,2000,2150,SINGLE_FAMILY,3798,43,1100000,True,True,False,False,False,False,False,False,False,False,1428000,2020-09-23,2020-09,2020,4
1397 Barrows Rd,OAKLAND,94610,949000,973567,2,1.0,1946,1130,SINGLE_FAMILY,3040,16,950000,True,unknow,False,False,False,False,False,False,False,False,949000,2020-09-24,2020-09,2020,5
5 Green Valley Ct,DANVILLE,94526,1599000,1663937,4,3.0,1958,2265,SINGLE_FAMILY,13503,0,270000,True,True,False,False,False,False,False,False,False,False,1599000,2020-09-21,2020-09,2020,9
2254 Seacliff Dr,MILPITAS,95035,1428888,1465860,4,3.0,1970,2074,SINGLE_FAMILY,6425,0,655000,True,True,False,False,False,False,False,False,False,False,1428888,2020-09-19,2020-09,2020,8
1321 Bayberry View Ln,SAN RAMON,94582,1358000,1373121,4,4.0,2015,2501,SINGLE_FAMILY,3537,90,1180000,True,True,False,False,False,False,False,False,False,False,1358000,2020-09-23,2020-09,2020,9
27110 Parkside Dr,HAYWARD,94542,719000,749210,2,2.0,1939,890,SINGLE_FAMILY,30447,0,455000,True,True,False,False,False,False,False,False,False,False,719000,2020-09-23,2020-09,2020,3
242 Jersey St,SAN FRANCISCO,94114,1249000,1306803,3,1.0,1900,1232,CONDO,5614,125,880000,True,True,False,False,False,False,False,False,False,False,1249000,2020-09-23,2020-09,2020,3
970 Dry Creek Rd,CAMPBELL,95008,1488888,1560789,3,2.0,1963,1684,SINGLE_FAMILY,11817,0,1021000,True,True,False,False,False,False,False,False,False,False,1488888,2020-09-21,2020-09,2020,7
3622 Laurel Ave,OAKLAND,94602,729000,764622,2,1.0,1925,953,SINGLE_FAMILY,3419,0,150000,True,True,False,False,False,False,False,False,False,False,729000,2020-09-22,2020-09,2020,2
4293 Panorama Dr,DUBLIN,94568,1075000,1066506,3,3.0,2018,2043,SINGLE_FAMILY,2260,130,880000,True,True,False,False,False,False,False,False,False,False,1075000,2020-08-06,2020-08,2020,9
2491 Corriea Way,FREMONT,94539,1289900,1086126,3,3.0,1972,1306,SINGLE_FAMILY,3985,40,616000,True,True,False,False,False,False,False,False,False,False,1289900,2020-09-24,2020-09,2020,9
662 Briarcliff Ct,SANTA CLARA,95051,1650000,1619948,4,2.0,1961,1418,SINGLE_FAMILY,6464,0,578500,True,True,False,False,False,False,False,False,False,False,1650000,2020-09-24,2020-09,2020,6
965 Hilldale Ave,BERKELEY,94708,1699000,1699014,5,4.0,1930,3425,SINGLE_FAMILY,5201,0,1300000,True,True,False,False,False,False,False,False,False,False,1699000,2020-07-29,2020-07,2020,7
1237 Inglewood St,HAYWARD,94544,649950,687368,3,2.0,1952,1263,SINGLE_FAMILY,5035,0,655000,True,True,False,False,False,False,False,False,False,False,649950,2020-09-22,2020-09,2020,4
Riesling Ave,MILPITAS,95035,959000,309900,3,3.0,2018,1530,CONDO,5614,590,655000,True,True,False,False,False,False,False,False,False,False,959000,2020-09-03,2020-09,2020,7
290 Hidalgo Ct,FREMONT,94539,2519000,2540778,5,3.0,1974,3211,SINGLE_FAMILY,11193,0,660000,True,True,False,False,False,False,False,False,False,False,2519000,2020-09-18,2020-09,2020,9
1716 Stuart St,BERKELEY,94703,975000,1318964,3,2.0,1912,1556,SINGLE_FAMILY,4051,0,501000,True,True,False,False,False,False,False,False,False,False,975000,2020-09-23,2020-09,2020,7
10 Olympia Way,SAN FRANCISCO,94131,1250000,1551999,3,2.0,1957,1270,SINGLE_FAMILY,3497,0,655000,True,True,False,False,False,False,False,False,False,False,1250000,2020-09-24,2020-09,2020,6
3070 Adams Way,SANTA CLARA,95051,1798000,1873033,3,2.0,1954,1683,SINGLE_FAMILY,5314,0,236000,True,True,False,False,False,False,False,False,False,False,1798000,2020-09-18,2020-09,2020,8
1897 Crater Lake Ave,MILPITAS,95035,1099888,1141923,4,2.0,1967,1528,SINGLE_FAMILY,5501,0,625000,True,True,False,False,False,False,False,False,False,False,1099888,2020-09-17,2020-09,2020,8
2092 Fostoria Cir,DANVILLE,94526,634750,634754,3,2.0,1991,1145,CONDO,1109,280,39000,True,True,False,False,False,False,False,False,False,False,634750,2020-09-22,2020-09,2020,9
34122 Asti Ter,FREMONT,94555,1024998,1051209,3,4.0,2013,1701,TOWNHOUSE,1698,235,615000,True,True,False,False,False,False,False,False,False,False,1024998,2020-09-18,2020-09,2020,8
198 Parc Place Dr,MILPITAS,95035,738888,728737,2,2.0,2005,1031,TOWNHOUSE,1267,318,628000,True,True,False,False,False,False,False,False,False,False,738888,2020-07-12,2020-07,2020,8
741 Fallon Ave,SAN MATEO,94401,1348000,1375009,3,3.0,1949,1320,SINGLE_FAMILY,5000,0,655000,True,True,False,False,False,False,False,False,False,False,1348000,2020-09-21,2020-09,2020,5
1018 59th St,OAKLAND,94608,825000,912501,3,2.0,1923,1315,SINGLE_FAMILY,6250,0,400000,True,True,False,False,False,False,False,False,False,False,825000,2020-09-18,2020-09,2020,3
7904 Kemper Ct,PLEASANTON,94588,1480000,1561959,4,3.0,1991,3021,SINGLE_FAMILY,5754,380,815000,True,True,False,False,False,False,False,False,False,False,1480000,2020-09-23,2020-09,2020,8
6414 Benvenue Ave,OAKLAND,94618,895000,962143,3,3.0,1923,1840,SINGLE_FAMILY,5501,0,655000,True,True,False,False,False,False,False,False,False,False,895000,2020-09-14,2020-09,2020,7
10 Buena Vista Rd,SOUTH SAN FRANCISCO,94080,1468888,1468091,4,3.0,1997,2310,SINGLE_FAMILY,2526,240,655000,True,True,False,False,False,False,False,False,False,False,1468888,2020-09-24,2020-09,2020,7
4049 Lakeshore Ave,OAKLAND,94610,1545000,1892165,3,4.0,1918,2669,SINGLE_FAMILY,4281,0,1050000,True,True,False,False,False,False,False,False,False,False,1545000,2020-09-23,2020-09,2020,5
1108 Hamilton Ln,BURLINGAME,94010,1795000,1834637,2,2.0,1942,1580,SINGLE_FAMILY,5336,0,655000,True,True,False,False,False,False,False,False,False,False,1795000,2020-09-18,2020-09,2020,9
502 Enos St,FREMONT,94539,1699888,1813447,4,3.0,2005,2172,SINGLE_FAMILY,4059,0,1075000,True,True,False,False,False,False,False,False,False,False,1699888,2020-09-24,2020-09,2020,9
28468 Beatron Way,HAYWARD,94544,649950,682427,3,3.0,1955,1115,SINGLE_FAMILY,5353,0,241000,True,True,False,False,False,False,False,False,False,False,649950,2020-08-19,2020-08,2020,2
35520 Monterra Ter APT 304,UNION CITY,94587,425000,421964,1,1.0,2001,695,CONDO,5614,500,2300,True,True,False,False,False,False,False,False,False,False,425000,2020-05-09,2020-05,2020,5
2326 Myrtle St,OAKLAND,94607,489000,495571,4,4.0,1892,1900,SINGLE_FAMILY,1598,0,655000,True,True,False,False,False,False,False,False,False,False,489000,2020-09-15,2020-09,2020,2
1644 La Loma Ave,BERKELEY,94709,1295000,1299200,3,2.0,1926,1719,SINGLE_FAMILY,2901,0,655000,True,True,False,False,False,False,False,False,False,False,1295000,2020-08-28,2020-08,2020,7
4374 Glidden Way,FREMONT,94536,1050000,1117021,3,2.0,1959,1390,SINGLE_FAMILY,5998,0,655000,True,True,False,False,False,False,False,False,False,False,1050000,2020-09-23,2020-09,2020,8
81 41st Ave,SAN MATEO,94403,1390000,1447545,3,2.0,1945,1120,SINGLE_FAMILY,6599,0,655000,True,unknow,False,False,False,False,False,False,False,False,1390000,2020-09-16,2020-09,2020,5
